Subclass/&MonkSubclassMonasticTraditionTitle	Klostertradition
Feature/&MonkSubclassWayOfThePyrokineDamageTitle	Flammende Technik: Schaden
Feature/&MonkSubclassWayOfThePyrokineDamageDescription	Das Ziel erleidet zusätzlich 1W4 Punkte Feuerschaden.
Reaction/&SpendMonkSubclassWayOfThePyrokineDamagePowerReactDescription	Füge dem Ziel zusätzlichen Feuerschaden zu.
Feature/&MonkSubclassWayOfThePyrokineBlindTitle	Flammende Technik: Blind
Feature/&MonkSubclassWayOfThePyrokineBlindDescription	Das Ziel muss bei einem Weisheitsrettungswurf erfolgreich sein oder bis zum Ende deines nächsten Zuges geblendet sein.
Reaction/&SpendMonkSubclassWayOfThePyrokineBlindPowerReactDescription	Versuchen Sie, das Ziel zu blenden.
Feature/&MonkSubclassWayOfThePyrokineBurningDevotionTitle	Brennende Hingabe
Feature/&MonkSubclassWayOfThePyrokineBurningDevotionDescription	Ab der 6. Stufe erhältst du Widerstand gegen Feuerschaden.
Subclass/&MonkSubclassWayOfIronTitle	Weg des Eisens
Subclass/&MonkSubclassWayOfIronDescription	Die über die ganze Welt verstreuten Klöster bieten Wege zur Erleuchtung. Was Erleuchtung bedeutet, ist von Kloster zu Kloster unterschiedlich. Für manche könnte es bedeuten, Körper und Geist zu vereinen, um die Grenzen der physischen Form zu überschreiten, und für andere könnte es bedeuten, eins mit dem Universum zu werden.\nAnhänger des eisernen Weges suchen Ruhe in der Kampfkunst. Im Gegensatz zu anderen klösterlichen Traditionen konzentriert sich der Eisenweg auf den Gebrauch von Waffen und behandelt sie als Erweiterungen des eigenen Körpers des Mönchs. Anhänger des eisernen Weges sind normalerweise Frontkämpfer und lassen ihre Schläfen zurück, um Schulter an Schulter mit den einfachen Soldaten am Kampftanz teilzunehmen. Großmeister des Eisenweges führen jede Waffe mit solcher Anmut und Leichtigkeit, dass die Waffen immer ein Teil von ihnen gewesen zu sein scheinen, wie es eine Hand oder ein Auge sein würde, und ihre Bewegungen und Angriffe sind voller anmutiger Bögen und wirbelnder Schnörkel die den Kampf eher als Tanz denn als Konflikt erscheinen lassen.\nAnhänger des eisernen Weges trainieren unermüdlich miteinander und gehören zu den außergewöhnlichsten Duellanten der Welt, da sie ihre Fähigkeiten gegen die besten Krieger ihrer Tempel verfeinert haben.
Feature/&MonkSubclassWayOfIronRoilingStormOfIronTitle	Tosender Sturm aus Eisen
Feature/&MonkSubclassWayOfIronRoilingStormOfIronDescription	Wenn du diese Tradition auf der 3. Stufe wählst, erlangst du Kenntnisse in allen Waffen und leichten und mittleren Rüstungen und Schilden. Außerdem sind alle Nahkampfwaffen, die nicht die schwere Eigenschaft haben, Mönchswaffen für dich.
Feature/&MonkSubclassWayOfIronShiftingBladesTitle	Wechselklingen
Feature/&MonkSubclassWayOfIronShiftingBladesDescription	Ab der 6. Stufe gelten Angriffe mit Mönchswaffen als magisch, um Widerstand und Immunität gegen nichtmagische Angriffe und Schaden zu überwinden.
Feature/&MonkSubclassWayOfIronTestOfSkillTitle	Fähigkeitstest
Feature/&MonkSubclassWayOfIronTestOfSkillDescription	Auf der 3. Stufe kannst du andere Kreaturen dazu zwingen, dich einer Kampfkunstprüfung zu unterziehen. Eine Kreatur, die Sie sehen können, die sich innerhalb von 9 m von Ihnen befindet und die Sie hören und verstehen kann, müssen einen Weisheitsrettungswurf machen. Bei einem fehlgeschlagenen Rettungswurf hat die Kreatur 1 Minute lang einen Nachteil bei Angriffswürfen gegen andere Kreaturen als dich. Dieser Effekt endet, wenn eine zu dir befreundete Kreatur der betroffenen Kreatur Schaden zufügt oder einen schädlichen Zauberspruch auf sie wirkt.
