Subclass/&MonkSubclassMonasticTraditionTitle	Tradição monástica
Feature/&MonkClassMartialArtsDescription	No 1º nível, sua prática de artes marciais dá a você o domínio de estilos de combate que usam ataques desarmados e armas de monge, que são palavras curtas e quaisquer armas brancas simples que não têm a propriedade de duas mãos ou pesada. \nVocê ganha os seguintes benefícios enquanto está desarmado ou empunhando apenas Armas de monge e não está usando armadura ou empunhando um Escudo. \n- Você pode usar Destreza em vez de Força para as Rolagens de Ataque e Dano de seus ataques desarmados e Armas de monge. \n- Você pode rolar um d4 no lugar do dano normal de seu ataque desarmado ou arma de monge. Este dado muda conforme você ganha níveis de monge (d6 no 5º nível, d8 no 11º nível, d10 no 17º nível). \n- Quando você usa a ação de Ataque com um Ataque Desarmado ou uma arma de monge em Seu Turno, você pode fazer um Ataque Desarmado como Ação Bônus.
Feature/&MonkClassUnarmoredMovementTitle	Movimento sem armadura
Feature/&MonkClassUnarmoredMovementDescription	Começando no 2º nível, sua velocidade aumenta em 3 metros enquanto você não está usando armadura ou empunhando um escudo. Este bônus aumenta quando você atinge certos níveis de monge.
Feature/&MonkClassUnarmoredMovementImprovementTitle	Melhoria de movimento sem armadura
Feature/&MonkClassUnarmoredMovementImprovementDescription	No <LEVEL> º nível, seu bônus de velocidade de Velocidade Sem Armadura aumenta para <PÉS> pés enquanto você não estiver usando uma armadura ou empunhando um escudo.
Feature/&MonkClassKiTitle	Ki
Feature/&MonkClassKiDescription	Começando no segundo nível, seu treinamento permite que você aproveite a energia mística do ki. Seu acesso a essa energia é representado por um número de pontos de ki, que é igual ao seu nível de monge. Você pode gastar esses pontos para alimentar vários recursos do ki. \nSeus pontos de ki são reabastecidos após um breve descanso. \nAlgumas das características do seu ki exigem que seu alvo faça um teste de resistência para resistir aos efeitos da característica. A CD do teste de resistência é calculada da seguinte forma: \nKi save DC = 8 + seu bônus de proficiência + seu modificador de Sabedoria.
Feature/&MonkClassFlurryOfBlowsPowerTitle	Rajada de golpes
Feature/&MonkClassFlurryOfBlowsPowerDescription	Imediatamente após realizar a ação de Ataque no seu turno, você pode gastar 1 ponto de ki para fazer dois ataques desarmados como uma ação bônus.
Feature/&MonkClassPatientDefensePowerTitle	Defesa do Paciente
Feature/&MonkClassPatientDefensePowerDescription	Você pode gastar 1 ponto de ki para realizar a ação de esquiva como uma ação bônus no seu turno.
Feature/&MonkClassStepOfTheWindPowerTitle	Etapa do Vento
Feature/&MonkClassStepOfTheWindDashPowerTitle	Etapa do Vento (Dash)
Feature/&MonkClassStepOfTheWindDisengagePowerTitle	Etapa do Vento (Desengate)
Feature/&MonkClassStepOfTheWindPowerDescription	Você pode gastar 1 ponto de ki para realizar a ação Disengage ou Dash como uma ação bônus no seu turno, e sua distância de salto é dobrada nesse turno.
Feature/&MonkClassDeflectMissilesTitle	Desviar mísseis
Feature/&MonkClassDeflectMissilesDescription	Começando no terceiro nível, você pode usar sua reação para desviar ou pegar o míssil quando for atingido por um ataque de arma de longo alcance. Quando você faz isso, o dano que você recebe do ataque é reduzido em 1d10 + seu modificador de Destreza + seu nível de monge.
Feature/&MonkClasSlowfallTitle	Slowfall
Feature/&MonkClasSlowfallDescription	Começando no 4º nível, você pode usar sua Reação ao cair para evitar que o dano caia e caia de pé.
Reaction/&UseMonkClasSlowfallPowerReactDescription	Use sua reação para evitar danos causados ​​por quedas e aterrissagens.
Feature/&MonkClassStunningStrikeTitle	Stunning Strike
Feature/&MonkClassStunningStrikeDescription	A partir do 5º nível, você pode interferir no fluxo do ki no corpo do oponente. Ao atingir outra criatura com um Ataque com arma corpo a corpo, você pode gastar 1 ponto ki para tentar um Golpe Atordoante. O alvo deve ser bem-sucedido em um teste de resistência de Constituição ou ficar atordoado até o final de seu próximo turno.
Reaction/&SpendMonkClassStunningStrikePowerReactDescription	Gaste 1 ponto de ki para tentar atordoar o alvo.
Feature/&MonkClassKiEmpoweredStrikesTitle	Ataques com poder de Ki
Feature/&MonkClassKiEmpoweredStrikesDescription	Começando no 6º nível, seus ataques desarmados contam como mágicos para o propósito de superar a Resistência e imunidade a ataques e danos não mágicos.
Feature/&MonkClassUnarmoredMovement9Title	Melhoria de movimento sem blindagem (superfícies verticais)
Feature/&MonkClassUnarmoredMovement9Description	No 9º nível, você ganha a habilidade de se mover ao longo de superfícies verticais e através de líquidos na sua vez sem cair durante o movimento.
Feature/&MonkClassStillnessOfMindTitle	Quietude da mente
Feature/&MonkClassStillnessOfMindDescription	A partir do 7º nível, você pode usar sua ação para encerrar um efeito em você mesmo que o esteja deixando encantado ou assustado.
Feature/&MonkClassPurityOfBodyTitle	Pureza do Corpo
Feature/&MonkClassPurityOfBodyDescription	No 10º nível, seu domínio do ki que flui através de você o torna imune a doenças e venenos.
Subclass/&MonkSubclassWayOfTheOpenHandTitle	Caminho da Mão Aberta
Subclass/&MonkSubclassWayOfTheOpenHandDescription	Monges do Caminho da Mão Aberta são os melhores mestres do combate de artes marciais, armados ou desarmados. Eles aprendem técnicas para empurrar e tropeçar em seus oponentes, manipular o ki para curar os danos em seus corpos e praticar meditação avançada que pode protegê-los de danos.
Feature/&MonkSubclassWayOfTheOpenHandTechniqueTitle	Técnica de Mão Aberta
Feature/&MonkSubclassWayOfTheOpenHandTechniqueDescription	Começando quando você escolhe esta tradição no 3º nível, você pode manipular o ki do seu inimigo quando você controla o seu próprio. Sempre que você acertar uma criatura com um dos ataques concedidos por sua Rajada de Golpes, você pode impor um dos seguintes efeitos naquele alvo: \n- Ele deve ter sucesso em um teste de resistência de Destreza ou será derrubado. \n- Deve fazer um teste de resistência de Força. Se falhar, você pode empurrá-lo a até 4,5 metros de distância de você. \n- Não pode ter reações até o final de sua próxima jogada.
Feature/&MonkSubclassWayOfTheOpenHandForbidReactionTitle	Técnica de mão aberta: reações proibidas
Feature/&MonkSubclassWayOfTheOpenHandForbidReactionDescription	O alvo não pode reagir até o final de seu próximo turno.
Rules/&ConditionMonkSubclassWayOfTheOpenHandForbidReactionPowerTitle	Reações Proibidas
Rules/&ConditionMonkSubclassWayOfTheOpenHandForbidReactionPowerDescription	Você não pode ter reações.
Reaction/&SpendMonkSubclassWayOfTheOpenHandForbidReactionPowerReactDescription	Evite que o alvo use reações.
Feature/&MonkSubclassWayOfTheOpenHandPushTitle	Técnica de mão aberta: empurrar
Feature/&MonkSubclassWayOfTheOpenHandPushDescription	O alvo deve fazer um teste de resistência de Força. Se falhar, você pode empurrá-lo para até 15 pés de distância de você.
Reaction/&SpendMonkSubclassWayOfTheOpenHandPushPowerReactDescription	Tentativa de empurrar o alvo.
Feature/&MonkSubclassWayOfTheOpenHandKnockTitle	Técnica de mão aberta: bater
Feature/&MonkSubclassWayOfTheOpenHandKnockDescription	O alvo deve ser bem sucedido em um teste de resistência de Destreza ou será derrubado.
Reaction/&SpendMonkSubclassWayOfTheOpenHandKnockPowerReactDescription	Tentativa de derrubar o alvo.
Feature/&MonkSubclassWayOfTheOpenHandWholenessOfBodyTitle	Totalidade do corpo
Feature/&MonkSubclassWayOfTheOpenHandWholenessOfBodyDescription	No 6º nível, você ganha a habilidade de curar a si mesmo. Como uma ação, você pode recuperar pontos de vida iguais a três vezes o seu nível de monge. Você deve terminar um longo descanso antes de usar este recurso novamente.
Subclass/&MonkSubclassWayOfThePyrokineTitle	Caminho da Chama Ardente
Subclass/&MonkSubclassWayOfThePyrokineDescription	Quando você olha para as chamas, elas não olham apenas para você, elas olham para sua alma e acendem o fogo eterno queimando dentro de você. Com prática e disciplina, você controla essa chama interna, manifestando-a para fazer seus golpes chamuscarem a carne, seus golpes chamuscar os inimigos.
Feature/&MonkSubclassWayOfThePyrokineTechniqueTitle	Técnica Resplandecente
Feature/&MonkSubclassWayOfThePyrokineTechniqueDescription	Quando você escolhe esta tradição no 3º nível, você aprende a convocar as chamas usando o ki. Sempre que você acertar uma criatura com um dos ataques concedidos por sua Rajada de Golpes, você pode impor um dos seguintes efeitos naquele alvo: \n- Deve ser bem-sucedido em um teste de resistência de Destreza ou se incendeia. Até que uma criatura execute uma ação para apagar o fogo, o alvo sofre 2 (1d4) de dano de fogo no início de cada um de seus turnos. \n -Isso causa 1d4 de dano de fogo extra. \n -Tem de ter sucesso em um teste de resistência de Sabedoria ou ficar cego até o final de seu próximo turno.
Feature/&MonkSubclassWayOfThePyrokineBurnTitle	Técnica de fogo: acender
Feature/&MonkSubclassWayOfThePyrokineBurnDescription	O alvo deve ser bem-sucedido em um teste de resistência de Destreza ou se incendeia. O alvo sofre (1d4) de dano de fogo no início de cada um de seus turnos. A cada turno, o alvo pode tentar um golpe de salvamento de Destreza; a condição é removida em caso de sucesso.
Rules/&ConditionMonkSubclassWayOfThePyrokineBurnPowerTitle	Queimando
Rules/&ConditionMonkSubclassWayOfThePyrokineBurnPowerDescription	Você sofre 1d4 de dano de fogo no início de cada turno, até ser bem-sucedido em um teste de resistência de Destreza.
Reaction/&SpendMonkSubclassWayOfThePyrokineBurnPowerReactDescription	Tente acender o alvo.
Feature/&MonkSubclassWayOfThePyrokineDamageTitle	Técnica de Explosão: Danos
Feature/&MonkSubclassWayOfThePyrokineDamageDescription	O alvo sofre 1d4 pontos extras de dano por fogo.
Reaction/&SpendMonkSubclassWayOfThePyrokineDamagePowerReactDescription	Causa dano extra de fogo ao alvo.
Feature/&MonkSubclassWayOfThePyrokineBlindTitle	Técnica Resplandecente: Cego
Feature/&MonkSubclassWayOfThePyrokineBlindDescription	O alvo deve ser bem-sucedido em um teste de resistência de Sabedoria ou ficará cego até o final de seu próximo turno.
Reaction/&SpendMonkSubclassWayOfThePyrokineBlindPowerReactDescription	Tentativa de cegar o alvo.
Feature/&MonkSubclassWayOfThePyrokineBurningDevotionTitle	Devoção ardente
Feature/&MonkSubclassWayOfThePyrokineBurningDevotionDescription	No 6º nível, você ganha resistência a danos de fogo.
Subclass/&MonkSubclassWayOfIronTitle	Caminho de Ferro
Subclass/&MonkSubclassWayOfIronDescription	Os mosteiros espalhados pela face do mundo oferecem maneiras de atingir a iluminação. O que a iluminação significa varia de mosteiro para mosteiro. Para alguns, pode ser unir corpo e mente para transcender os limites da forma física e, para outros, pode significar tornar-se um com o universo. \nOs adeptos do Caminho do Ferro buscam tranquilidade na arte do combate. Ao contrário de outras tradições monásticas, o Caminho do Ferro foca no uso de armas, tratando-as como extensões do próprio corpo do monge. Seguidores do Caminho do Ferro são geralmente combatentes da linha de frente, deixando seus templos para trás para se juntar à dança da batalha ombro a ombro com os soldados rasos. Os grandes mestres do Caminho do Ferro empunham qualquer arma com tal graça e facilidade que as armas parecem sempre ter feito parte delas, como uma mão ou um olho seriam, e seus movimentos e ataques são cheios de arcos graciosos e floreios giratórios que fazem a batalha parecer mais uma dança do que um conflito. \nOs adeptos do Caminho do Ferro treinam incansavelmente uns com os outros e estão entre os duelistas mais excepcionais do mundo, tendo aperfeiçoado suas habilidades contra os melhores guerreiros que seus templos têm a oferecer.
Feature/&MonkSubclassWayOfIronRoilingStormOfIronTitle	Tempestade turbulenta de ferro
Feature/&MonkSubclassWayOfIronRoilingStormOfIronDescription	Começando quando você escolhe esta tradição no 3º nível, você ganha proficiência em todas as armas e armaduras leves e médias e escudos, e se você estiver usando uma armadura, poderá usar todas as suas características mon, como se estivesse sem armadura, exceto defesa sem armadura. Além disso, todas as armas brancas que não têm a propriedade pesada são armas de monge para você.
Feature/&MonkSubclassWayOfIronShiftingBladesTitle	Lâminas Deslocantes
Feature/&MonkSubclassWayOfIronShiftingBladesDescription	No 6º nível, os ataques que você faz com armas de monge contam como mágicos com o propósito de superar a resistência e imunidade a ataques e danos não mágicos.
Feature/&MonkSubclassWayOfIronTestOfSkillTitle	Teste de Habilidade
Feature/&MonkSubclassWayOfIronTestOfSkillDescription	no 3º nível, você pode obrigar outras criaturas a envolvê-lo em um teste de habilidade marcial. Uma criatura que você pode ver que está a 30 pés de você e que pode ouvir e entender você deve fazer um teste de resistência de Sabedoria. Em uma falha de resistência, por 1 minuto a criatura tem desvantagem nas jogadas de ataque feitas contra outras criaturas que não você. Este efeito termina se uma criatura amiga de você causar dano à criatura afetada ou lançar um feitiço prejudicial sobre ela.
